global_iso_id,nu,sw,n_air,gamma_self,elower,nu-err,sw-err,n_air-err,gamma_self-err,nu-ref,sw-ref,n_air-ref,gamma_self-ref
1,3443.50994,5.164e-26,0.36,0.235,3655.4834,5,5,4,2,15,15,101,817
1,3443.54362,1.715e-26,0.36,0.235,3655.4834,4,5,4,2,15,15,101,817
1,3443.570747,5.178e-29,0.41,0.183,4432.8569,3,4,3,2,762,26,101,817
1,3443.742306,4.847e-29,0.69,0.412,4125.1489,3,4,3,2,762,26,819,817
1,3443.77547,1.018e-29,0.67,0.412,4030.8389,4,4,3,2,762,26,819,817
1,3443.994087,1.572e-27,0.36,0.25,2246.8838,3,4,3,2,762,26,819,817
1,3444.126866,3.496e-28,0.67,0.412,3597.8662,4,4,3,2,762,26,819,817
1,3444.2316,1.521e-24,0.57,0.333,744.1627,5,5,4,2,15,15,819,817
1,3444.235591,9.983e-29,0.36,0.221,4283.3071,3,4,3,2,762,26,101,817
1,3444.237572,3.327e-29,0.36,0.221,4283.3042,3,4,3,2,762,26,101,817
1,3444.25364,5.083e-27,0.62,0.315,2690.5938,4,5,3,5,762,15,778,817
1,3444.31353,1.84e-26,0.61,0.371,888.5986,5,5,4,2,15,15,819,817
1,3444.598791,1.216e-29,0.69,0.412,3746.7744,4,4,3,2,762,26,819,817
1,3444.812111,7.565e-28,0.24,0.25,3654.2136,4,4,3,2,762,26,819,817
1,3444.882618,1.925e-27,0.51,0.315,1631.3831,4,4,3,2,762,26,819,817
1,3444.946596,2.293e-27,0.24,0.25,3654.0479,4,4,3,2,762,26,819,817
1,3444.950542,1.155e-28,0.36,0.235,3939.8303,3,4,3,2,762,26,101,817
1,3445.00554,6.818e-24,0.62,0.371,1045.0583,5,5,4,2,15,15,819,817
1,3445.04017,1.735e-26,0.61,0.352,2462.8752,5,5,4,2,15,15,819,817
1,3445.041893,3.859e-27,0.57,0.333,2337.6665,4,4,3,2,762,26,819,817
1,3445.127511,9.496e-27,0.67,0.391,2406.1411,4,4,3,2,762,26,819,817
1,3445.15777,6.979e-22,0.29,0.27,1114.5493,5,5,3,6,15,15,778,89
1,3445.21977,2.32e-22,0.21,0.265,1114.5312,4,5,3,6,15,15,778,89
1,3445.24591,1.725e-29,0.56,0.315,5193.4575,4,4,3,2,762,26,819,817
